src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
104.244.42.2,192.168.100.40,443,43940,6,2024-09-25 20:24:53,118.09924125671387,129.55206009107366,1.2193135067395167,0.6096567533697583,0.6096567533697583,72,72,8100,7200,284,66,112.5,29.777881426021935,747,66,100.0,129.37660358641185,747,66,106.25,94.0828166504856,8851.576388888889,1440,1440,20,66,0.82586881997702,6.556956768035889,2.384185791015625e-07,1.3351625191177983,118.09919166564941,6.556993722915649,2.384185791015625e-07,1.6633688966992874,1.484219759633318,118.09920167922974,6.557007074356079,2.5987625122070312e-05,1.66336903773563,1.4829637242271192,66,6,0,0,0,0,0,72,144,0,0,1.0,106.25,458,654,0,0,0,0,0,0,0,0,182.5,4.0,0,0,159.4985132845888,0,112.5,100.0,0,72,72,8100,7200
192.168.100.40,199.232.188.158,50024,443,6,2024-09-25 20:24:55,112.47963547706604,75593.52378710064,5.956633813385794,2.7204924580538106,3.2361413553319838,306,364,25445,8477287,202,66,83.15359477124183,44.47338122297896,51866,66,23289.25,20157.12426235844,51866,66,12690.644776119403,18824.56087000286,354364091.9484429,6120,7280,20,41,0.16813099473402995,58.31720733642578,2.384185791015625e-07,2.2956289668706615,112.47963547706604,58.31720733642578,1.811981201171875e-05,0.3687856900887411,3.3893716825380853,112.36655855178833,58.38448214530945,2.384185791015625e-07,0.3095497480765519,3.1160972163334426,41,260,0,0,0,0,0,301,670,0,0,1.1895424836601307,12690.644776119403,34539,424,0,0,0,0,0,0,0,0,0,0,402859.35,15.1,0,49174287.780523404,83.15359477124183,23289.25,0,306,364,25445,8477287
192.168.100.15,87.13.114.103,35032,22067,6,2024-09-25 20:25:02,107.23575448989868,9.250645968956592,0.13055347133608095,0.13055347133608095,0.0,14,0,992,0,100,66,70.85714285714286,11.89752160780401,0,0,0,0.0,100,66,70.85714285714286,11.89752160780401,141.5510204081633,280,0,20,2,8.248904191530668,15.261867761611938,0.08229398727416992,6.9094949787788105,107.23575448989868,15.261867761611938,0.08229398727416992,8.248904191530668,6.9094949787788105,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,0,0.0,70.85714285714286,501,0,13.826419591903687,12.448410034179688,13.137414813041687,0.6890047788619995,15.075762271881104,12.245238542556763,13.324730157852173,1.249317447421189,0,0,0,0,0,0,70.85714285714286,0,0,14,0,992,0
192.168.100.40,104.244.42.1,51054,443,6,2024-09-25 20:25:02,109.36433577537537,122.86455090440457,0.43889993625150103,0.21944996812575052,0.21944996812575052,24,24,8411,5026,1115,66,350.4583333333333,362.40768700073437,567,66,209.41666666666666,170.400732751424,1115,66,279.9375,291.8236772329312,85161.05859375,480,480,20,12,2.3269007611781993,18.651248693466187,2.384185791015625e-07,5.5346180138615715,109.36433577537537,18.651248693466187,9.441375732421875e-05,4.754971120668494,7.145785169602473,109.3028199672699,18.7126681804657,2.384185791015625e-07,4.752296520316082,7.186508384227389,12,12,0,0,0,0,0,24,48,0,0,1.0,279.9375,1479,703,7.495464086532593,5.557550668716431,6.539377689361572,0.7913591845723857,18.651248693466187,5.057651519775391,9.201157808303833,5.500397827840377,0,0,0,0,0,0,350.4583333333333,209.41666666666666,0,24,24,8411,5026
192.168.100.40,51.159.156.37,22000,3478,17,2024-09-25 20:25:05,90.4197564125061,11.280720502570633,0.11059529904481012,0.05529764952240506,0.05529764952240506,5,5,370,650,74,74,74.0,0.0,130,130,130.0,0.0,130,74,102.0,28.0,784.0,40,40,8,5,10.046639601389566,22.5028133392334,0.08229923248291016,11.140379153954479,90.33739399909973,22.585135459899902,22.58307433128357,22.584348499774933,0.0008519493754656006,90.33741736412048,22.585376501083374,22.5830295085907,22.58435434103012,0.0009554727610135253,0,0,0,0,0,0,0,0,0,0,0,1.0,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,130.0,0,5,5,370,650
192.168.100.40,35.186.227.140,38812,443,6,2024-09-25 20:25:06,106.87913131713867,241.30997026417884,0.9356363470364811,0.4116799926960517,0.5239563543404294,44,56,18674,7117,1017,66,424.40909090909093,352.4318965921461,1191,66,127.08928571428571,154.97549077950018,1191,66,257.91,299.8047729773494,89882.9019,880,1120,20,33,1.0795871850216028,55.08608794212341,0.0,5.908883414145529,106.84529709815979,55.14474129676819,8.106231689453125e-06,2.484774351119995,8.785416349734655,106.82017874717712,55.14466094970703,0.0,1.942185068130493,7.835493608915553,33,27,0,0,0,0,0,60,100,0,0,1.2727272727272727,257.91,492,489,0,0,0,0,39.86027717590332,8.464330911636353,19.38475028673808,14.48910901703229,1966.0,4.0,0,0,79125.66127391713,0,424.40909090909093,127.08928571428571,0,44,56,18674,7117
192.168.100.40,13.107.42.14,33990,443,6,2024-09-25 20:25:11,100.81120777130127,40637.644271595054,42.73334379420452,28.49881539478867,14.234528399415852,2873,1435,3061596,1035134,1466,54,1065.6442742777585,608.1418482883001,4729,60,721.3477351916376,1336.9802548012144,4729,54,950.9586815227484,931.8800311430658,868400.3924432013,57460,28700,20,2300,0.02340636354104975,6.304249286651611,0.0,0.23475450731766684,100.81120777130127,6.304249286651611,7.152557373046875e-07,0.03510139546354501,0.2873882546031596,100.76788020133972,6.346851825714111,0.0,0.07027048828545308,0.40832858940051825,1138,587,0,0,0,2,0,1725,4307,0,0,0.4994778976679429,950.9586815227484,64240,16382,0,0,0,0,0,0,0,0,12740.16826923077,9.971153846153847,12254.207792207791,13.64935064935065,6074664.726980178,48960.320266249866,1065.6442742777585,721.3477351916376,0,2873,1435,3061596,1035134
192.168.100.40,94.142.38.210,41356,443,6,2024-09-25 20:25:15,91.17363619804382,44563.75954090964,9.871274608868895,4.453041656889746,5.4182329519791494,406,494,56117,4006923,729,66,138.2192118226601,98.80469726857343,64466,66,8111.18016194332,12713.0164604716,64466,66,4514.488888888889,10220.388904260004,104456349.35432099,8120,9880,20,152,0.10141672547057155,23.656728744506836,0.0,0.9660421846801446,91.17338252067566,23.65725588798523,5.0067901611328125e-06,0.22511946301401398,1.4296570061311489,91.17026090621948,23.660890340805054,0.0,0.18492953530673323,1.2998594350471153,152,431,0,0,0,2,0,583,899,0,0,1.2167487684729064,4514.488888888889,64240,501,0,0,0,0,0,0,0,0,848.5714285714286,4.857142857142857,95552.05405405405,8.135135135135135,437512.78883132845,5349885.240659939,138.2192118226601,8111.18016194332,0,406,494,56117,4006923
192.168.100.40,176.29.114.144,45788,80,6,2024-09-25 20:25:18,90.33655142784119,31.294088110703942,0.2767429086549694,0.14390631250058408,0.1328365961543853,13,12,1296,1531,496,66,99.6923076923077,114.42389786389408,797,66,127.58333333333333,201.84872980086402,797,66,113.08,162.96942535334657,26559.033599999995,260,240,20,1,3.7640229761600494,10.113903284072876,2.8133392333984375e-05,4.857187244778605,90.33438277244568,10.113903284072876,7.653236389160156e-05,7.52786523103714,4.3449022304138545,90.3337504863739,10.115950107574463,0.0013303756713867188,8.2121591351249,3.8703158881262367,1,1,0,0,0,2,0,2,24,0,0,0.9230769230769231,113.08,64240,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6923076923077,127.58333333333333,0,13,12,1296,1531
192.168.100.15,192.168.100.255,36186,21027,17,2024-09-25 20:24:59,119.99982762336731,35.50005099482709,0.08333345303950021,0.08333345303950021,0.0,10,0,4260,0,426,426,426.0,0.0,0,0,0,0.0,426,426,426.0,0.0,0.0,80,0,8,10,13.333314180374146,30.001193046569824,2.384185791015625e-07,14.907098080765921,119.99982762336731,30.001193046569824,2.384185791015625e-07,13.333314180374146,14.907098080765921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,0,0,10,0,4260,0
