src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.1,192.168.56.255,36186,21027,17,2024-09-24 23:15:59,90.0000569820404,18.93332134600798,0.044444416305183046,0.044444416305183046,0.0,4,0,1704,0,426,426,426.0,0.0,0,0,0,0.0,426,426,426.0,0.0,0.0,32,0,8,4,30.00001899401347,30.000357389450073,29.999366998672485,0.0004611414447522761,90.0000569820404,30.000357389450073,29.999366998672485,30.00001899401347,0.0004611414447522761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,0,0,4,0,1704,0
192.168.56.10,192.168.100.15,36614,80,6,2024-09-24 23:15:58,97.31413006782532,2.1168559987786315,0.030827999982213077,0.020551999988142052,0.010275999994071026,2,1,140,66,74,66,70.0,4.0,66,66,66.0,0.0,74,66,68.66666666666667,3.7712361663282534,14.222222222222221,40,20,20,0,48.65706503391266,83.31775069236755,13.996379375457764,34.660685658454895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.5,68.66666666666667,501,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,66.0,0,2,1,140,66
192.168.100.15,192.168.56.10,80,37330,6,2024-09-24 23:15:59,95.8633177280426,15.918497671123308,0.052157593942081616,0.03129455636524897,0.020863037576832645,3,2,1394,132,1262,66,464.6666666666667,563.7998068660738,66,66,66.0,0.0,1262,66,305.2,478.4,228866.55999999997,60,40,20,1,23.96582943201065,95.81641626358032,6.747245788574219e-05,41.48296002492862,95.8633177280426,95.86323380470276,8.392333984375e-05,47.9316588640213,47.93157494068146,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0.6666666666666666,305.2,508,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.6666666666667,66.0,0,3,2,1394,132
192.168.56.10,192.168.100.15,48684,80,6,2024-09-24 23:16:09,91.57120943069458,24.90957599207389,0.14196601836780384,0.08736370361095622,0.05460231475684763,8,5,747,1534,234,66,93.375,53.590898247743525,1262,66,306.8,477.6100501455136,1262,66,175.46153846153845,316.6759118343148,100283.6331360947,160,100,20,4,7.630934119224548,61.588242053985596,4.76837158203125e-06,16.967438473577083,91.57120943069458,61.588242053985596,2.3603439331054688e-05,13.081601347242083,20.54822059263566,29.982916593551636,29.982751607894897,2.5510787963867188e-05,7.495729148387909,12.982888470297969,4,1,0,0,1,2,0,5,12,0,0,0.625,175.46153846153845,64240,508,0,0,0,0,45.26211667060852,7.374132394790649,20.893293539683025,17.265789141720585,0,0,0,0,0,0,93.375,306.8,0,8,5,747,1534
192.168.56.10,192.168.100.15,48692,80,6,2024-09-24 23:16:09,91.57104063034058,24.025062780285428,0.13104579698337507,0.07644338157363545,0.054602415409739605,7,5,666,1534,234,66,95.14285714285714,57.079965390490486,1262,66,306.8,477.6100501455135,1262,66,183.33333333333334,328.38324493730727,107835.55555555555,140,100,20,2,8.32464005730369,29.98194432258606,8.106231689453125e-06,11.410041060292071,91.57104063034058,38.65350031852722,1.9311904907226562e-05,15.261840105056763,15.924321545266098,75.5894525051117,45.607332944869995,5.316734313964844e-05,18.897363126277924,19.688238250401117,2,1,0,0,1,3,0,3,10,0,0,0.7142857142857143,183.33333333333334,64240,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.14285714285714,306.8,0,7,5,666,1534
192.168.56.10,192.168.100.15,50014,80,6,2024-09-24 23:16:09,91.468008518219,31.541082469564792,0.07652948952754021,0.043731136872880126,0.03279835265466009,4,3,295,2590,87,66,73.75,8.671072598012312,1262,66,863.3333333333334,563.7998068660739,1262,66,412.14285714285717,537.5432018708367,288952.69387755106,80,60,20,2,15.244668086369833,46.11379528045654,3.743171691894531e-05,18.02576517851133,78.58022546768188,46.11379528045654,0.04117226600646973,26.193408489227295,19.318361013384287,59.04286503791809,59.04282760620117,3.743171691894531e-05,29.521432518959045,29.521395087242126,2,2,0,0,1,0,0,4,7,0,0,0.75,412.14285714285717,502,508,0,0,0,0,32.4251434803009,13.68865180015564,23.05689764022827,9.368245840072632,0,0,0,0,0,0,73.75,863.3333333333334,0,4,3,295,2590
192.168.56.10,192.168.100.15,50220,80,6,2024-09-24 23:16:09,91.50961947441101,18.347797856043993,0.07649469028725905,0.05463906449089932,0.02185562579635973,5,2,351,1328,87,66,70.2,8.4,1262,66,664.0,598.0,1262,66,239.85714285714286,417.3509754807024,174181.83673469388,100,40,20,1,15.251603245735168,59.00734996795654,3.552436828613281e-05,22.87687858049385,91.50961947441101,59.00734996795654,0.00013113021850585938,22.877404868602753,24.70972097716679,0,0,0,0,0,1,1,0,0,1,0,0,2,7,0,0,0.4,239.85714285714286,502,508,0,0,0,0,32.46396541595459,26.543384552001953,29.50367498397827,2.9602904319763184,0,0,0,0,0,0,70.2,664.0,0,5,2,351,1328
192.168.56.10,192.168.100.15,50236,80,6,2024-09-24 23:16:09,91.50968861579895,20.620767358552825,0.10927804641522429,0.054639023207612145,0.054639023207612145,5,5,361,1526,86,66,72.2,8.109253973085318,1262,66,305.2,478.4,1262,66,188.7,357.82455198043635,128038.40999999999,100,100,20,2,10.167743179533216,57.69333457946777,1.0967254638671875e-05,17.778794479005867,91.50968861579895,59.007951498031616,0.037099599838256836,22.877422153949738,21.96122809890259,17.183143854141235,15.831372261047363,1.0967254638671875e-05,4.295785963535309,6.682895890417135,2,1,0,0,1,0,1,3,10,0,0,1.0,188.7,502,508,14.51676630973816,10.583213329315186,12.549989819526672,1.9667764902114868,56.37872862815857,12.806373834609985,27.597771406173706,20.353842552422996,0,0,0,0,0,0,72.2,305.2,0,5,5,361,1526
192.168.56.10,192.168.100.15,50366,80,6,2024-09-24 23:16:09,91.49986577033997,19.956313428734067,0.07650284446940771,0.054644888906719785,0.021857955562687915,5,2,498,1328,234,66,99.6,67.19999999999999,1262,66,664.0,598.0,1262,66,260.85714285714283,412.8048409777844,170407.83673469388,100,40,20,1,15.249977628389994,32.462743282318115,5.269050598144531e-05,15.275304548554907,91.49986577033997,32.462867975234985,0.029435157775878906,22.87496644258499,13.250775609971988,0,0,0,0,0,1,1,0,0,1,0,0,2,7,0,0,0.4,260.85714285714283,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6,664.0,0,5,2,498,1328
192.168.56.10,192.168.100.15,50456,80,6,2024-09-24 23:16:09,91.85369563102722,35.92669818377231,0.14152941708758787,0.07620814766254731,0.06532126942504056,7,6,524,2776,87,66,74.85714285714286,6.749149606295838,1262,54,462.6666666666667,565.2299433760465,1262,54,253.84615384615384,429.948448815731,184855.66863905327,140,120,20,4,7.654474635918935,36.88095664978027,7.3909759521484375e-06,12.106286373960053,91.85369563102722,36.88095664978027,0.054074764251708984,15.30894927183787,13.405212614475689,54.918612003326416,38.9821298122406,6.890296936035156e-05,10.983722400665282,14.298524413063044,4,2,0,0,1,1,1,6,11,0,0,0.8571428571428571,253.84615384615384,502,508,0,0,0,0,36.88095664978027,6.266763925552368,21.624176025390625,12.498394405134082,0,0,0,0,0,0,74.85714285714286,462.6666666666667,0,7,6,524,2776
